reviews,lemmas,lemmas,lemmas,aspectCategory
Ambiance- relaxed and stylish.,"['stylish', 'relax', 'ambianc']",ambiance- relaxed;,ambiance- relaxed;,ambience
I've never felt more unwelcome than last month at Jimmy's Bronx Cafe.,"['last', 'never', 'cafe', 'jimmi', 'bronx', 'unwelcom', 'felt', 'month']",never felt;more unwelcome;last month;,i felt;never felt;last month;,anecdotes/miscellaneous
"Luckily we saved room for the BBQ Salmon, Sea Bass and Crispy Duck.","['luckili', 'room', 'bass', 'bbq', 'crispi', 'duck', 'save', 'salmon', 'sea']",saved room;crispy duck;,we saved;room saved;,food
"Yes, they use fancy ingredients, but even fancy ingredients don't make for good pizza unless someone knows how to get the crust right.","['good', 'someon', 'make', 'know', 'get', 'use', 'right', 'fanci', 'ye', 'ingredi', 'crust', 'pizza', 'even', 'unless']",fancy ingredients;even fancy;fancy ingredients;n't make;good pizza;,they use;fancy ingredients;ingredients use;fancy ingredients;ingredients make;n't make;good pizza;someone knows;crust right;,food
"Looking from the outside in, one would hesitate to enter this hole in the wall (really, that's what it is).","['wall', 'outsid', 'one', 'look', 'hesit', 'realli', 'hole', 'enter', 'would']",,one hesitate;hole enter;that 's;it is;,ambience
and yes Dal Bukhara is so dam good and so are all the kababs.,"['good', 'kabab', 'dam', 'ye', 'dal', 'bukhara']",dal bukhara;so dam;dam good;so are;,bukhara is;dam good;,food
I look forward to eating here again,"['look', 'eat', 'forward']",i look;here again;,i look;,anecdotes/miscellaneous
I've been coming here as a child and always come back for the taste.,"['alway', 'child', 'tast', 'back', 'come']",always come;,i coming;,food
Tuk Tuk is one of those comfortable neighborhood joints where you know you will always have a good meal at a fair price.,"['fair', 'good', 'neighborhood', 'one', 'know', 'comfort', 'alway', 'tuk', 'meal', 'price', 'joint']",comfortable neighborhood;always have;good meal;fair price;,tuk is;comfortable joints;you know;you have;good meal;meal have;fair price;,food
"A glass of Leaping Lizard, a glass of prosecco, and the mussels had everything happy.","['prosecco', 'happi', 'glass', 'leap', 'everyth', 'mussel', 'lizard']",leaping lizard;had everything;everything happy;,glass had;leaping lizard;everything had;happy everything;,food
"Food was average and creme brulee was awful - the sugar was charred, not caramelized and smelled of kerosene.","['aw', 'creme', 'averag', 'caramel', 'brule', 'smell', 'char', 'food', 'kerosen', 'sugar']",creme brulee;not caramelized;,food was;brulee was;sugar charred;not caramelized;,food
The food always tastes fresh and served promptly.,"['fresh', 'alway', 'promptli', 'food', 'serv', 'tast']",always tastes;,food tastes;,food
I know because I live nearby.,"['nearbi', 'live', 'know']",i live;,i know;i live;,anecdotes/miscellaneous
The pizza here is delicious.,"['delici', 'pizza']",here is;,pizza is;,food
My entire family was horrified.,"['famili', 'horrifi', 'entir']",entire family;,entire family;family was;,anecdotes/miscellaneous
On a monthly basis my friends and I get together and have a girls night out.,"['get', 'basi', 'night', 'monthli', 'girl', 'friend', 'togeth']",monthly basis;i get;,monthly basis;i get;girls have;,anecdotes/miscellaneous
"Pizza and garlic knots are great as well, I order from them quite often and the delivery is always super quick!","['knot', 'alway', 'quit', 'quick', 'deliveri', 'garlic', 'super', 'often', 'great', 'well', 'pizza', 'order']",garlic knots;i order;quite often;always super;super quick;,knots are;i order;delivery is;,food
"For great chinese food nearby, you have Wu Liang Ye and Grand Sichuan just a block away.","['nearbi', 'liang', 'wu', 'block', 'grand', 'away', 'ye', 'sichuan', 'chines', 'food', 'great']",great chinese;chinese food;liang ye;grand sichuan;,great food;chinese food;you have;ye have;grand sichuan;,food
But who says Murray's is anything about service.,"['anyth', 'murray', 'servic', 'say']",says murray;is anything;,who says;murray is;,service
"This place is really trendi but they have forgotten about the most important part of a  restaurant, the food.","['place', 'forget', 'restaur', 'import', 'realli', 'part', 'food', 'trendi']",really trendi;most important;important part;,place is;they forgotten;important part;,food
I have NEVER been disappointed in the Red Eye.,"['eye', 'red', 'disappoint', 'never']",never been;red eye;,i disappointed;never disappointed;red eye;,anecdotes/miscellaneous
Hats off to the chef.,"['hat', 'chef']",,,food
This should have been done in a back room - away from customers.,"['room', 'do', 'away', 'custom', 'back']",back room;,this done;back room;,anecdotes/miscellaneous
"Service could be improved but overall this is a place that understands the importance of little things (the heavy, black, antique-seeming teapot, for one) in the restaurant experience.","['littl', 'one', 'place', 'heavi', 'could', 'antiqu', 'black', 'thing', 'restaur', 'import', 'teapot', 'overal', 'improv', 'servic', 'seem', 'experi', 'understand']",little things;antique-seeming teapot;,service improved;this is;that understands;importance understands;little things;heavy teapot;black teapot;seeming teapot;,anecdotes/miscellaneous
Glad you have the luxury to throw out paying customers.,"['throw', 'custom', 'luxuri', 'glad', 'pay']",paying customers;,you have;luxury have;customers paying;,anecdotes/miscellaneous
"The pizza is delicious - they use fresh mozzarella instead of the cheap, frozen, shredded cheese common to most pizzaria's.","['shred', 'delici', 'fresh', 'common', 'use', 'freez', 'pizzaria', 'chees', 'cheap', 'mozzarella', 'pizza', 'instead']",fresh mozzarella;shredded cheese;cheese common;most pizzaria;,pizza is;they use;fresh mozzarella;mozzarella use;cheap cheese;frozen cheese;shredded cheese;common cheese;most pizzaria;,food
Its an excellent place to relax and the food is one of the best in the city of New York.,"['citi', 'one', 'place', 'best', 'new', 'relax', 'excel', 'york', 'food']",excellent place;new york;,excellent place;place is;food is;new york;,food
"service is friendly, and never had a problem walking in and getting a table.","['problem', 'never', 'friendli', 'get', 'tabl', 'walk', 'servic']",never had;,service is;never had;problem had;table getting;,service
The atmosphere was crowded but it was a great bistro-type vibe.,"['bistro', 'type', 'vibe', 'great', 'atmospher', 'crowd']",great bistro-type;bistro-type vibe;,atmosphere was;it was;great vibe;bistro type;,ambience
Check it out,['check'],,it check;,anecdotes/miscellaneous
"First off, the waitress was completely unattentive the 2 times we saw her(odd in a restaurant with 6 tables) and got our order wrong.","['time', 'tabl', 'get', 'unattent', 'odd', 'restaur', 'wrong', 'waitress', 'complet', 'first', 'saw', 'order']",first off;completely unattentive;,waitress was;we saw;her(odd saw;order wrong;,service
Don't go.,['go'],n't go;,n't go;,anecdotes/miscellaneous
The food was bland oily.,"['food', 'bland', 'oili']",,food was;,food
But they do.,[],,they do;,anecdotes/miscellaneous
"What is even better, is that the prices are very affordable as well, and the food is really good.","['afford', 'good', 'realli', 'price', 'food', 'better', 'well', 'even']",even better;very affordable;really good;,what is;prices are;food is;,food
The fish is fresh but the variety of fish is nothing out of ordinary.,"['fish', 'ordinari', 'noth', 'fresh', 'varieti']",is nothing;,fish is;variety is;,food
Look I dont know if the people who wrote the reviews have ever been to a decent place (PLEASE TRY SOMEOTHER PLACES).,"['write', 'dont', 'decent', 'place', 'pleas', 'know', 'look', 'tri', 'peopl', 'someoth', 'review', 'ever']",look i;i dont;ever been;decent place;please try;someother places;,i know;people been;who wrote;reviews wrote;decent place;places try;,anecdotes/miscellaneous
Suan has challenged this loyalty.,"['suan', 'loyalti', 'challeng']",,suan challenged;loyalty challenged;,anecdotes/miscellaneous
"Our favorite meal is a pesto pizza, the house salad, and a good bottle of wine.","['good', 'salad', 'meal', 'wine', 'bottl', 'favorit', 'pesto', 'hous', 'pizza']",favorite meal;pesto pizza;good bottle;,favorite meal;meal is;pesto pizza;good bottle;,food
"And Kruno, the beverage manager is the best bartender I have yet to come across.","['beverag', 'manag', 'kruno', 'bartend', 'across', 'best', 'yet', 'come']",best bartender;,manager is;best bartender;i have;,service
"Ambiance and music funky, which I enjoy.","['enjoy', 'music', 'funki', 'ambianc']",,ambiance funky;which enjoy;i enjoy;,ambience
"The food, drinks and service are clearly among the best in the city.","['citi', 'among', 'best', 'clearli', 'servic', 'drink', 'food']",,food are;,food
I went there in late afternoon for some bite size food and refleshment with my date.,"['reflesh', 'date', 'late', 'go', 'bite', 'size', 'food', 'afternoon']",i went;late afternoon;bite size;,i went;late afternoon;,anecdotes/miscellaneous
"It's a really great deal, considering we got full off of four dollars.","['dollar', 'consid', 'get', 'realli', 'full', 'deal', 'great', 'four']",really great;great deal;,it 's;great deal;we got;,price
"I understand the area and folks you need not come here for the romantic, alluring ambiance or the five star service featuring a sommlier and a complicated maze of captain and back waiters - you come for the authentic foods, the tastes, the experiance.","['area', 'featur', 'complic', 'servic', 'captain', 'allur', 'romant', 'folk', 'authent', 'maze', 'experi', 'five', 'need', 'back', 'waiter', 'star', 'ambianc', 'tast', 'sommlier', 'food', 'understand', 'come']",not come;alluring ambiance;complicated maze;authentic foods;,i understand;area understand;you come;not come;romantic ambiance;alluring ambiance;sommlier featuring;complicated maze;back waiters;you come;authentic foods;,food
Went with mommy (the only person who could afford taking me here).,"['afford', 'take', 'could', 'person', 'go', 'mommi']",,only person;who afford;me taking;,anecdotes/miscellaneous
My friends and I were on vacation in NY and was referred to Chance by a friend.,"['refer', 'chanc', 'vacat', 'ny', 'friend']",,friends were;,anecdotes/miscellaneous
"Last time I went here, the waitress didn't come back after taking our order.","['take', 'time', 'last', 'go', 'waitress', 'back', 'come', 'order']",last time;time i;i went;n't come;,last time;i went;waitress come;n't come;order taking;,service
Try the tandoori salmon!,"['tandoori', 'salmon', 'tri']",tandoori salmon;,tandoori salmon;salmon try;,food
"I am completely hooked on this place, it is ridiculous.","['hook', 'ridicul', 'place', 'complet']",completely hooked;,i hooked;it is;,anecdotes/miscellaneous
"Eating in, the atmosphere saves it, but at your desk, it's a very disappointing experience.","['eat', 'desk', 'save', 'experi', 'atmospher', 'disappoint']",very disappointing;disappointing experience;,atmosphere saves;it saves;it 's;disappointing experience;,anecdotes/miscellaneous
"Granted the space is smaller than most, it is the best service you will find in even the largest of restaurants.","['space', 'largest', 'best', 'smaller', 'restaur', 'servic', 'find', 'grant', 'even']",best service;,space granted;it is;best service;you find;,service
"Have recommended the place to friends, always gets good response.","['good', 'place', 'get', 'alway', 'recommend', 'respons', 'friend']",always gets;good response;,place recommended;good response;response gets;,anecdotes/miscellaneous
We will return many times for this oasis in mid-town.,"['mid', 'time', 'return', 'town', 'oasi', 'mani']",many times;,we return;many times;mid -;,anecdotes/miscellaneous
I love the atmorphere @ peep!,"['love', 'atmorpher', 'peep']",atmorphere @;@ peep;,i love;atmorphere love;,ambience
Enjoy!,['enjoy'],,,anecdotes/miscellaneous
We weren't!,[],,we were;n't were;,anecdotes/miscellaneous
This is one of my favorite restaurants and it is not to be missed.,"['favorit', 'one', 'restaur', 'miss']",favorite restaurants;,this is;favorite restaurants;it is;not is;,anecdotes/miscellaneous
(La Rosa is connected by a swinging door to the Mexican restaurant Pacifico).,"['mexican', 'connect', 'swing', 'door', 'rosa', 'restaur', 'pacifico', 'la']",swinging door;mexican restaurant;,la rosa;rosa connected;swinging door;mexican pacifico;,anecdotes/miscellaneous
